recipe_name,tag,image_url,recipe_url,page
Smoothie fruité au butternut,BOISSONS,https://assets.magimix.com/files/rec_42540/avatar_smoothie-butternut-avatar.jpg,https://www.magimix.fr/recettes/smoothie-fruite-au-butternut_c,2
"Smoothie mangue, ananas et épinards",BOISSONS,https://assets.magimix.com/files/rec_98048/avatar_smoothie-mango-spinach-avatar.jpg,https://www.magimix.fr/recettes/smoothie-mangue-ananas-et-epinards_b,2
Carrot cake végé,DESSERTS,https://assets.magimix.com/files/rec_23560/avatar_carrot-cake-avatar.jpg,https://www.magimix.fr/recettes/carrot-cake-vg_c,2
Cookies épeautre et cranberries,DESSERTS,https://assets.magimix.com/files/rec_71897/TOME2_VEGETARIENNE_26072018_DEF_DEF_BF_Page_71.jpg,https://www.magimix.fr/recettes/cookies-epeautre-et-cranberries,2
Financiers au matcha sans gluten,DESSERTS,https://assets.magimix.com/files/rec_59526/avatar_financier-matcha-avatar.jpg,https://www.magimix.fr/recettes/financiers-au-matcha-sans-gluten,2
Granola à l'abricot et à la figue,DESSERTS,https://assets.magimix.com/files/rec_8544/Pages_de_TOME2_VEGETARIENNE_26072018_DEF_DEF_BF.jpg,https://www.magimix.fr/recettes/granola-a-l_abricot-et-a-la-figue_c,2
Riz au lait végan à l'indienne,DESSERTS,https://assets.magimix.com/files/rec_38697/healthymalo_Rizaulait_HD.jpg,https://www.magimix.fr/recettes/riz-au-lait-vegan_c,2
Banana Bread au chocolat végan,DESSERTS,https://assets.magimix.com/files/rec_39598/pomverte_bananabread.jpg,https://www.magimix.fr/recettes/banana-bread,2
Pancakes vegan,DESSERTS,https://assets.magimix.com/files/rec_7316/avatar_IMG0381.jpg,https://www.magimix.fr/recettes/pancakes-vegan_i,2
Fajitas au poulet,VIANDES,https://assets.magimix.com/files/rec_41264/avatar_RECIPE AVATAR- chicken faritas.jpg,https://www.magimix.fr/recettes/fajitas-au-poulet_c,2
Confiture de fraises light,DESSERTS,https://assets.magimix.com/files/rec_87418/avatar_strawberry-jam-avatar.jpg,https://www.magimix.fr/recettes/confiture-de-fraises-light_c,2
"Curry de patate douce, coco et cajou",VÉGÉTARIENS,https://assets.magimix.com/files/rec_16362/bymelissa_b_Currydepatatedouce_HD.jpg,https://www.magimix.fr/recettes/curry-de-patate-douce,2
"Galettes végétales, quinoa et patate",VÉGÉTARIENS,https://assets.magimix.com/files/rec_67072/naturallylety_galettesv_g_tales_HD.jpg,https://www.magimix.fr/recettes/galettes-vegetales_c,2
Curry Végétarien (Potimarron & Pois Chiche),VÉGÉTARIENS,https://assets.magimix.com/files/rec_79656/mariegourmandise_curryv_g_tarien_HD_Copier_.jpg,https://www.magimix.fr/recettes/curry-vegetarien-_potimarron-_-pois-chiche_c,2
Pot au feu sans viande,VÉGÉTARIENS,https://assets.magimix.com/files/rec_76448/avatar_avatar-potaufeu-vege.jpg,https://www.magimix.fr/recettes/pot-au-feu-sans-viande_i,2
Burger aux restes d'agneau,VIANDES,https://assets.magimix.com/files/rec_10573/avatar_Nayas leftover lamb burgers.jpg,https://www.magimix.fr/recettes/burger-aux-restes-dagneau_r,2
Rigatoni pois et chou kale,VÉGÉTARIENS,https://assets.magimix.com/files/rec_94421/avatar_Nayas hidden veggie pasta sauce (1).jpg,https://www.magimix.fr/recettes/rigatoni-pois-et-chou-kale_r,2
Galettes de légumes,LÉGUMES,https://assets.magimix.com/files/rec_4627/avatar_galette-legumes-avatar.jpg,https://www.magimix.fr/recettes/galettes-de-legumes_c,2
Piperade basque aux œufs et piment,VÉGÉTARIENS,https://assets.magimix.com/files/rec_51853/piperade_desgages.jpg,https://www.magimix.fr/recettes/piperade-basque-aux-ufs-et-piment_c,2
Wraps d'épinards à la truite,APÉRITIFS,https://assets.magimix.com/files/rec_70702/avatar_wrap-truite-avatar.jpg,https://www.magimix.fr/recettes/wraps-depinards-la-truite_m,2
Risotto petits pois & coppa,"PÂTES, RIZ, PIZZA",https://assets.magimix.com/files/rec_88665/Risotto_petits_pois_et_copp.jpg,https://www.magimix.fr/recettes/risotto-petits-pois-_-coppa_c,2
Dip aux pois et tahini,APÉRITIFS,https://assets.magimix.com/files/rec_1875/avatar_Stephens pea and tahini dip (2).jpg,https://www.magimix.fr/recettes/dip-aux-pois-et-tahini_r,2
Burger végé aux oignons,VÉGÉTARIENS,https://assets.magimix.com/files/rec_23824/avatar_pakora_burger_s.jpg,https://www.magimix.fr/recettes/burger-vege-aux-oignons,2
Crème dessert noisette chocolat,DESSERTS,https://assets.magimix.com/files/rec_69567/avatar_danette-choco-noisette-avatar.jpg,https://www.magimix.fr/recettes/creme-dessert-choco-noisettes_c,2
Pommes cuites aux pecans et raisins,DESSERTS,https://assets.magimix.com/files/rec_90417/avatar_dd.jpg,https://www.magimix.fr/recettes/pommes-cuites-aux-pecans-et-raisins_c,2
Pudding aux dattes,DESSERTS,https://assets.magimix.com/files/rec_96586/avatar_xcad.jpg,https://www.magimix.fr/recettes/pudding-aux-dattes_c,2
Poulet entier rôti,VIANDES,https://assets.magimix.com/files/rec_95564/avatar_sdf.jpg,https://www.magimix.fr/recettes/poulet-entier-roti_c,2
Croquettes légumes et fromage,LÉGUMES,https://assets.magimix.com/files/rec_42973/avatar_croquette-fromage-avatar.jpg,https://www.magimix.fr/recettes/croquettes-legumes-et-fromage_c,2
Burger de bœuf BBQ,VIANDES,https://assets.magimix.com/files/rec_82673/avatar_burger-brisket.jpg,https://www.magimix.fr/recettes/burger-de-buf-bbq_c,2
Mousse chocolat et tofu,DESSERTS,https://assets.magimix.com/files/rec_48370/avatar_mousse-ctofu-avatar.jpg,https://www.magimix.fr/recettes/mousse-chocolat-et-tofu_c,2
Muffins 100 % orange de Mohamed,DESSERTS,https://assets.magimix.com/files/rec_26825/avatar_muffin-orange-avatar.jpg,https://www.magimix.fr/recettes/muffins-100-orange_b,2
Tajine végétarien à la cocotte,VÉGÉTARIENS,https://assets.magimix.com/files/rec_54540/avatar_tajine-vege_avatar.jpg,https://www.magimix.fr/recettes/tajine-vgtarien-la-cocotte_c,2
Crumble choco-poires,DESSERTS,https://assets.magimix.com/files/rec_36694/avatar_choco-pear-avatar.jpg,https://www.magimix.fr/recettes/crumble-choco-poires_c,2
Petits sandwichs choco/noisettes,DESSERTS,https://assets.magimix.com/files/rec_78132/Prince_de_LU.jpg,https://www.magimix.fr/recettes/petits-sandwichs-choco_noisettes_ce1,2
Gnocchis de pommes de terre,"PÂTES, RIZ, PIZZA",https://assets.magimix.com/files/rec_56407/gnocci-116 (2).jpg,https://www.magimix.fr/recettes/gnocchis-de-pommes-de-terre_c,2
Gigot d'agneau de 7 heures,VIANDES,https://assets.magimix.com/files/rec_81055/avatar_gigot-agneau-avatar.jpg,https://www.magimix.fr/recettes/gigot-dagneau-de-heures_,2
Boulettes de poulet aux herbes,VIANDES,https://assets.magimix.com/files/rec_74296/avatar_boulettes-herbes-avatar.jpg,https://www.magimix.fr/recettes/boulettes-de-poulet-aux-herbes_c,2
Pâte à tartiner Kinder Bueno,DESSERTS,https://assets.magimix.com/files/rec_81486/avatar_bueno-avatar.jpg,https://www.magimix.fr/recettes/pate-tartiner-kinder-bueno_r,2
Galette poire-chocolat,DESSERTS,https://assets.magimix.com/files/rec_59026/avatar_galette-poire-avatar.jpg,https://www.magimix.fr/recettes/galette-poire-chocolat_c,3
Poêlée de chorizo,VIANDES,https://assets.magimix.com/files/rec_94402/avatar_poele-chorizo-avatar.jpg,https://www.magimix.fr/recettes/poele-de-chorizo_c,3
Parmentier de lentilles,LÉGUMES,https://assets.magimix.com/files/rec_75925/avatar_parmentier-lentilles-avatar.jpg,https://www.magimix.fr/recettes/parmentier-de-lentilles_c,3
Muffins choco-courgette,DESSERTS,https://assets.magimix.com/files/rec_26641/avatar_muffins-chococourgette-avatar.jpg,https://www.magimix.fr/recettes/muffins-choco-courgette_c,3
Pizza au pecorino,"PÂTES, RIZ, PIZZA",https://assets.magimix.com/files/rec_1808900/magimix_pizza_pecorino.jpg,https://www.magimix.fr/recettes/pizza-au-pecorino_c,3
Bugnes lyonnaises,DESSERTS,https://assets.magimix.com/files/rec_37868/bugnes lyonnaises_avatar.jpg,https://www.magimix.fr/recettes/bugnes-lyonnaises_c,3
Velouté carottes et tomates séchées,SOUPES,https://assets.magimix.com/files/rec_67456/avatar_veloute-carrotte-avatar.jpg,https://www.magimix.fr/recettes/velout%25c3%25a9%2bcarottes%2bet%2btomates%2bs%25c3%25a9ch%25c3%25a9es,3
Banana and pecan bread,DESSERTS,https://assets.magimix.com/files/rec_99396/avatar_banana-desgagaes-avatar.jpg,https://www.magimix.fr/recettes/banana-peacn-bread_c,3
